ID,Title,Description,Type,Target,Bonus,Est. Income,Wait Time (Sec),Wait Growth,Power Multiplier,BASE COST,COST FACTOR,MaxLevel
1_Global_Production_1,,Global energy production +15%,Multiplier,GlobalProduction,0.15,0.01,1.00,1.30,1.15,0.01,1.50,40
1_Global_Production_2,,Global energy production +25%,Multiplier,GlobalProduction,0.25,0.05,5.00,1.40,1.25,0.25,1.75,30
1_Emitter_Max_Cap_1,,Max emitter number +1,Additive,EmitterMaxCap,1,0.05,60,1.15,1.00,3.00,1.35,19
1_Global_Production_3,,Global energy production +30%,Multiplier,GlobalProduction,0.30,0.66,30.0,1.45,1.30,19.80,1.89,20
1_Global_Production_4,,Global energy production +50%,Multiplier,GlobalProduction,0.50,5.6,120,1.65,1.50,673,2.48,2
1_Emitter_Max_Cap_2,,Max emitter number +2,Additive,EmitterMaxCap,2,8.00,180,1.2,1.00,1440,1.4,15
1_Global_Production_6,,Global energy production +5%,Multiplier,GlobalProduction,0.05,33.7,60,1.20,1.05,2020,1.26,40
1_Global_Production_5,,Global energy production +100%,Multiplier,GlobalProduction,1.00,11.2,600,2.15,2.00,6732,4.30,3
1_Global_Production_7,,Global energy production +20%,Multiplier,GlobalProduction,0.20,118,900,1.35,1.20,106029,1.62,35
1_Emitter_Max_Cap_3,,Max emitter number +5,Additive,EmitterMaxCap,5,250,600,1.25,1.00,150000,1.5,10
1_Global_Production_8,,Global energy production +30%,Multiplier,GlobalProduction,0.30,1149,1800,1.45,1.30,2067566,1.89,30
1_Emitter_Max_Cap_4,,Max emitter number +10,Additive,EmitterMaxCap,10,15000,1200,1.25,1.00,18000000,1.45,15
1_Global_Production_9,,Global energy production +10%,Multiplier,GlobalProduction,0.10,12262,7200,1.25,1.10,88285047,1.38,100
1_Global_Production_10,,Global energy production +100%,Multiplier,GlobalProduction,1.00,122618,3600,2.15,2.00,441425234,4.30,5
1_Global_Production_11,,Global energy production +10%,Multiplier,GlobalProduction,0.10,735709,600,1.25,1.10,441425234,1.38,100
1_Emitter_Max_Cap_5,,Max emitter number +25,Additive,EmitterMaxCap,25,5000000,2400,1.35,1.00,12000000000,1.55,10
1_Global_Production_12,,Global energy production +10%,Multiplier,GlobalProduction,0.10,8092796,1800,1.25,1.10,14567032730,1.38,20
1_Global_Production_13,,Global energy production x2,Multiplier,GlobalProduction,2.00,24278388,7200,1.60,3.00,174804392763,4.80,7
1_Global_Production_14,,Global energy production +20%,Multiplier,GlobalProduction,0.20,3107633649,300,1.35,1.20,932290094736,1.62,100
1_Emitter_Max_Cap_6,,Max emitter number +50,Additive,EmitterMaxCap,50,2000000000,3600,1.4,1.00,7200000000000,2,10
1_Global_Production_15,,Global energy production +30%,Multiplier,GlobalProduction,0.30,80798474877,3600,1.45,1.30,290874509557632,1.89,40
1_Emitter_Max_Cap_7,,Max emitter number +75,Additive,EmitterMaxCap,75,500000000000,7200,1.3,1.00,3600000000000000,1.4,20
1_Global_Production_16,,Global energy production +10%,Multiplier,GlobalProduction,0.10,1090779410841,10800,1.25,1.10,11780417637084100,1.38,50
1_Global_Production_17,,Global energy production x10,Multiplier,GlobalProduction,10.00,6544676465047,43200,3.00,11.00,282730023290018000,33.00,3
1_Global_Production_18,,Global energy production +2%,Multiplier,GlobalProduction,0.02,6544676465046720,300,1.17,1.02,1963402939514020000,1.19,50
1_Global_Production_19,,Global energy production +5%,Multiplier,GlobalProduction,0.05,13089352930093400,1800,1.20,1.05,23560835274168200000,1.26,200
1_Emitter_Max_Cap_8,,Max emitter number +100,Additive,EmitterMaxCap,100,20000000000000000,14400,1.25,1.00,288000000000000000000,1.3,25
1_Global_Production_20,,Global energy production +1%,Multiplier,GlobalProduction,0.01,78536117580560600,7200,1.16,1.01,565460046580037000000,1.17,600
1_Global_Production_21,,Global energy production x10,Multiplier,GlobalProduction,10.00,471216705483364000,86400,11.15,11.00,40713123353762600000000,122.65,1
1_Global_Production_22,,Global energy production +10%,Multiplier,GlobalProduction,0.10,5183383760317000000,102200,1.25,1.10,529741820304398000000000,1.38,10
1_Emitter_Max_Cap_9,,Max emitter number +125,Additive,EmitterMaxCap,125,500000000000000000000,43200,1.22,1.00,21600000000000000000000000,1.25,40
