ID,Titolo,Descrizione,Tipo,Target,Bonus,IsExponential,Calc2,Calc3,Calc4,CostoBase,Fattore,LivMax,Tier
01_res_t1_prod,Efficienza Nanobot,Aumenta la produzione base di energia.,Multiplier,GlobalProduction,0.25,FALSE,-,-,-,0.20,1.35,30,1
02_res_t1_cap,Protocolli di Espansione,Aumenta il numero massimo di Emitter costruibili.,Additive,EmitterMaxCap,2,FALSE,-,-,-,0.50,1.40,30,1
03_res_t1_click,Sovraccarico Manuale,Potenzia l'Energy Button fino a 10x (+0.5x per livello).,Additive,ClickPower,0.50,FALSE,-,-,-,5.0,1.60,14,1
04_res_t2_cap,Cupole Geodetiche,Aumenta massicciamente il limite degli Emitter.,Additive,EmitterMaxCap,5,FALSE,-,-,-,4000,1.50,25,2
05_res_t2_prod,Processori Quantici,Moltiplica esponenzialmente la produzione globale.,Multiplier,GlobalProduction,1.50,TRUE,-,-,-,8000,2.10,15,2
06_res_t2_log,Iper-Condotti,Raddoppia esponenzialmente la capacità logistica (x2).,Multiplier,LogisticsCapacity,2.00,TRUE,-,-,-,8000,2.10,15,2
07_res_t2_speed,Sciame Replicante,Aumenta la velocità con cui si generano nuovi Emitter.,Additive,EmitterProductionSpeed,0.20,FALSE,-,-,-,3000,1.90,10,2
08_res_t3_cap,Anelli Orbitali,Espande lo spazio per decine di nuovi Emitter.,Additive,EmitterMaxCap,20,FALSE,-,-,-,25000,1.60,25,3
09_res_t3_prod,Reattori a Materia Oscura,Raddoppia tutta la produzione di energia.,Multiplier,GlobalProduction,2.0,TRUE,-,-,-,60000,3.00,10,3
10_res_t3_log,Logistica a Wormhole,Triplica tutta la capacità logistica (x3).,Multiplier,LogisticsCapacity,3.0,TRUE,-,-,-,60000,3.00,10,3
11_res_t3_off,Celle Criogeniche,Aumenta il tempo di accumulo offline (+30 min per livello).,Additive,StorageCapacity,1.0,FALSE,-,-,-,35000,2.00,10,3
12_res_t4_prod,Sintesi Antimateria,Raddoppia la produzione globale (x2).,Multiplier,GlobalProduction,2.0,TRUE,-,-,-,1e11,3.50,10,4
13_res_t4_cap,Ingegneria Planetaria,Aumenta il limite di Emitter (+10 per livello).,Additive,EmitterMaxCap,10,FALSE,-,-,-,1.5e11,1.80,15,4
14_res_t4_log,Logistica a Singolarità,Triplica la capacità logistica (x3).,Multiplier,LogisticsCapacity,3.0,TRUE,-,-,-,1e11,3.50,10,4
15_res_t4_click,Sovraccarico Neurale,Potenzia massicciamente l'Energy Button (+2.0x per livello).,Additive,ClickPower,2.0,FALSE,-,-,-,5e11,2.00,10,4
16_res_t5_prod,Estrazione a Punti Zero,Triplica la produzione globale (x3).,Multiplier,GlobalProduction,3.0,TRUE,-,-,-,7e17,4.00,10,5
17_res_t5_cap,Megastrutture,Aumenta il limite di Emitter (+25 per livello).,Additive,EmitterMaxCap,25,FALSE,-,-,-,1e18,2.00,10,5
18_res_t5_log,Condotti Entangled,Quadruplica la capacità logistica (x4).,Multiplier,LogisticsCapacity,4.0,TRUE,-,-,-,7e17,4.00,10,5
19_res_t5_speed,Matrici Auto-Replicanti,Accelera la generazione passiva di nuovi Emitter.,Additive,EmitterProductionSpeed,0.5,FALSE,-,-,-,3e18,2.50,10,5
20_res_t6_prod,Dyson Swarm,Quadruplica la produzione globale (x4).,Multiplier,GlobalProduction,4.0,TRUE,-,-,-,2e24,4.50,10,6
21_res_t6_cap,Colonizzazione Crostale,Aumenta il limite di Emitter (+50 per livello).,Additive,EmitterMaxCap,50,FALSE,-,-,-,3e24,2.20,10,6
22_res_t6_log,Fasce di Trasporto,Quintuplica la capacità logistica (x5).,Multiplier,LogisticsCapacity,5.0,TRUE,-,-,-,2e24,4.50,10,6
23_res_t6_off,Stasi Temporale,Aumenta il tempo massimo di accumulo offline (+2 ore per livello).,Additive,StorageCapacity,2.0,FALSE,-,-,-,1e25,2.00,10,6
